id_product;id_category;id_producer;name;image;code;price;sale_percent;quantity;support_sim;monitor;color;front_camera;rear_camera;c_pu;g_pu;r_am;r_om;o_s;pin;information_details;created_at;updated_at;is_disable
1;53519;23386;methodology cohesive;open-source;24/7;40638;66277;95727;generating redundant;moratorium auxiliary;lavender;Interactions;Pound;Sri UIC-Franc;hacking convergence visualize;Awesome;Robust Tanzanian deposit;ability Facilitator;indexing Intuitive Rubber;Washington monetize Vermont;2022-03-04T18:20:48;2022-03-04T19:15:13;false
2;92642;849;array access;conglomeration;convergence withdrawal calculate;1048;86511;29258;panel Loan;24/7;orchid;invoice Sausages African;architect;Ball encompassing;auxiliary drive;Accountability;Metal foreground Central;optical Taka;Intelligent Group Minor;ADP initiatives bus;2022-03-04T16:10:39;2022-03-05T04:56:07;true
3;35227;85907;West;contextually-based Shirt bi-directional;Markets Steel quantify;40790;35807;61277;Cambridgeshire;invoice;grey;Tasty Industrial;Chief;hacking back-end;Towels;Intelligent interactive sensor;Toys Georgia Pound;violet compelling toolset;Executive XSS Licensed;distributed web-enabled;2022-03-04T13:55:16;2022-03-05T04:47:02;true
4;80845;4409;program Accountability Concrete;Colorado connecting Tools;enterprise Caledonia;40363;90509;60736;Brand Rand Communications;disintermediate Chicken Algeria;yellow;Account Hat;Designer Utah;Fresh e-commerce Unbranded;withdrawal Kids connect;asynchronous bifurcated Designer;Senior Pants;quantifying extend ROI;Tanzania;Korea Salad Intranet;2022-03-05T06:21:53;2022-03-04T19:33:59;false
5;89653;1023;Gloves;bandwidth;back-end Manors Rubber;14481;6955;53863;invoice Hat CFA;payment pixel eyeballs;plum;ivory Awesome Manager;instruction;auxiliary Bacon;Devolved Public-key;Fresh;Shirt engineer orchestrate;firewall;Loan utilize;Brazil maximize;2022-03-04T20:55:54;2022-03-05T11:17:57;true
6;99552;39466;Mountain Tala Kazakhstan;Connecticut;Outdoors channels Strategist;60092;6145;67617;Kansas Future blue;Handcrafted bypassing circuit;teal;Borders;Lats;Cambridgeshire 24/365;Uzbekistan content;compressing;hacking;Fresh pixel capacity;Hat;PNG Health;2022-03-04T23:38:28;2022-03-05T05:23:31;true
7;14189;3997;Cambridgeshire Greens olive;Industrial Account PNG;Cameroon back-end;33488;96565;38826;Shoes Solutions Central;Senior UIC-Franc;fuchsia;Clothing input Utah;Cambridgeshire back-end Tactics;supply-chains granular;Industrial;Dynamic Mouse;archive;Auto;Soap proactive;alarm solutions Fish;2022-03-04T22:01:19;2022-03-05T08:49:40;false
8;37419;68213;Money payment Plastic;Cotton South;Account paradigms Officer;66073;34655;83363;Handmade Strategist synthesize;fresh-thinking Shore Aruba;olive;Assimilated yellow;payment;integrated;Directives Account database;e-commerce Hat;Washington;Loan;1080p Account;Handcrafted Bedfordshire;2022-03-05T04:00:40;2022-03-05T05:47:47;true
9;31300;85085;Belize transmitting ivory;invoice;incubate groupware unleash;85992;28564;29077;foreground;solid Iowa Village;azure;Franc;Account Towels;Rubber;Cambridgeshire Licensed;Computers cross-platform;Computer;Account;FTP;Maryland applications plum;2022-03-05T09:05:27;2022-03-04T12:37:20;false
10;57049;61746;Associate;Concrete firewall;quantify strategic;82655;65080;68528;payment;Fresh up;orange;Soft;Kids Salad invoice;compress;Pound deposit;e-tailers Marketing;Global Awesome Dollar;e-commerce;hard;Cook Gorgeous Bacon;2022-03-04T15:34:42;2022-03-05T06:14:02;false
